R_version	name	version	date_time	hash	binary_location	status
4.4.0	rrvgo	1.16.0	2024-05-06T01:28:47Z	4efc05944e5bf1f5aa7ba84bd2414069	/workspace/rst/cache_R-4.4.0/library/rrvgo/1.16.0/4efc05944e5bf1f5aa7ba84bd2414069/rrvgo	available
4.4.0	rsample	1.2.1	2024-05-05T22:49:35Z	4b67f8e3cc7604049c0f0e067870a12f	/workspace/rst/cache_R-4.4.0/library/rsample/1.2.1/4b67f8e3cc7604049c0f0e067870a12f/rsample	available
4.4.0	rsconnect	1.3.1	2024-06-06T05:11:49Z	3ea45dec90dd2fcc34684c225d826241	/workspace/rst/cache_R-4.4.0/library/rsconnect/1.3.1/3ea45dec90dd2fcc34684c225d826241/rsconnect	available
4.4.0	rsm	2.10.5	2024-06-11T05:05:55Z	475ee0bf6527aa3dc9038564b74962ed	/workspace/rst/cache_R-4.4.0/library/rsm/2.10.5/475ee0bf6527aa3dc9038564b74962ed/rsm	available
4.4.0	rsparse	0.5.1	2024-05-07T05:11:36Z	4af86eb7cac7fb84c649565bf9556936	/workspace/rst/cache_R-4.4.0/library/rsparse/0.5.1/4af86eb7cac7fb84c649565bf9556936/rsparse	available
4.4.0	rstan	2.32.6	2024-05-05T22:50:33Z	011fd5f5abd90c2b135bcb0fd87b5417	/workspace/rst/cache_R-4.4.0/library/rstan/2.32.6/011fd5f5abd90c2b135bcb0fd87b5417/rstan	available
4.4.0	rstanarm	2.32.1	2024-05-06T01:29:40Z	20844f2425ffb490a336e8ee9d57d4da	/workspace/rst/cache_R-4.4.0/library/rstanarm/2.32.1/20844f2425ffb490a336e8ee9d57d4da/rstanarm	available
4.4.0	rstantools	2.4.0	2024-05-05T22:50:34Z	76cb6821944525ccb791a4c647c2c779	/workspace/rst/cache_R-4.4.0/library/rstantools/2.4.0/76cb6821944525ccb791a4c647c2c779/rstantools	available
4.4.0	rstatix	0.7.2	2024-05-05T21:07:59Z	7addb8fc7d02de6fed70b5cbf54a510d	/workspace/rst/cache_R-4.4.0/library/rstatix/0.7.2/7addb8fc7d02de6fed70b5cbf54a510d/rstatix	available
4.4.0	rstpm2	1.6.3	2024-05-05T23:18:29Z	6850cab47bd6cbee9c70baa7ad624015	/workspace/rst/cache_R-4.4.0/library/rstpm2/1.6.3/6850cab47bd6cbee9c70baa7ad624015/rstpm2	available
4.4.0	rstudioapi	0.16.0	2024-05-06T05:04:19Z	96e89803841b828b3b93d3abb1af3ba0	/workspace/rst/cache_R-4.4.0/library/rstudioapi/0.16.0/96e89803841b828b3b93d3abb1af3ba0/rstudioapi	available
